IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
NICOLE,KOBIETA,10226
YEVHENIIA,KOBIETA,10184
ANHELINA,KOBIETA,10099
JUDYTA,KOBIETA,9905
DARYNA,KOBIETA,9476
ADELA,KOBIETA,9322
NICOLA,KOBIETA,9264
ELENA,KOBIETA,9179
MELANIA,KOBIETA,9084
NATASZA,KOBIETA,9060
VANESSA,KOBIETA,8959
JOWITA,KOBIETA,8866
MARHARYTA,KOBIETA,8624
MILANA,KOBIETA,8562
APOLONIA,KOBIETA,8546
LESIA,KOBIETA,8528
SOFIA,KOBIETA,8475
BIANKA,KOBIETA,8381
FRANCISZKA,KOBIETA,8226
INGA,KOBIETA,8178
ADA,KOBIETA,8150
JESSICA,KOBIETA,8093
KARYNA,KOBIETA,7910
YEVA,KOBIETA,7674
MAYA,KOBIETA,7614
ESTERA,KOBIETA,7566
ALISA,KOBIETA,7547
ZLATA,KOBIETA,7490
ULIANA,KOBIETA,7474
ROMANA,KOBIETA,7455
KIRA,KOBIETA,7389
LIDIIA,KOBIETA,7300
ALFREDA,KOBIETA,7270
MARZENNA,KOBIETA,7196
EMMA,KOBIETA,7107
OLESIA,KOBIETA,7047
JULIANNA,KOBIETA,6974
ELEONORA,KOBIETA,6777
LILIA,KOBIETA,6746
MYROSLAVA,KOBIETA,6744
RITA,KOBIETA,6732
IDA,KOBIETA,6675
BERNADETTA,KOBIETA,6561
KSENIIA,KOBIETA,6527
KRISTINA,KOBIETA,6331
RUSLANA,KOBIETA,6289
ARINA,KOBIETA,6168
FELICJA,KOBIETA,6139
LUDWIKA,KOBIETA,6079
GAJA,KOBIETA,6051
ANETTA,KOBIETA,6005
ALENA,KOBIETA,5959
DARIIA,KOBIETA,5948
ZENONA,KOBIETA,5906
DONATA,KOBIETA,5889
AMANDA,KOBIETA,5880
VITA,KOBIETA,5868
SOLOMIIA,KOBIETA,5825
LUDMIŁA,KOBIETA,5727
ANASTASIYA,KOBIETA,5561
WALENTYNA,KOBIETA,5474
YULIYA,KOBIETA,5295
ZOJA,KOBIETA,5291
WACŁAWA,KOBIETA,5254
TATSIANA,KOBIETA,5207
OTYLIA,KOBIETA,5191
ALBINA,KOBIETA,5106
ROMUALDA,KOBIETA,4993
VLADYSLAVA,KOBIETA,4985
IRMINA,KOBIETA,4973
KATSIARYNA,KOBIETA,4956
ZENOBIA,KOBIETA,4949
VOLHA,KOBIETA,4923
VIKTORIA,KOBIETA,4902
GIZELA,KOBIETA,4881
HILDEGARDA,KOBIETA,4836
LILLA,KOBIETA,4715
ZHANNA,KOBIETA,4684
ALEXANDRA,KOBIETA,4618
NATALLIA,KOBIETA,4611
SŁAWOMIRA,KOBIETA,4550
VARVARA,KOBIETA,4546
ANGELINA,KOBIETA,4511
BOHDANA,KOBIETA,4495
RAISA,KOBIETA,4489
JAŚMINA,KOBIETA,4485
BERNARDA,KOBIETA,4441
NEL,KOBIETA,4409
ANZHELA,KOBIETA,4324
LILA,KOBIETA,4222
IRINA,KOBIETA,4205
ERYKA,KOBIETA,4135
KAMILLA,KOBIETA,4088
EVA,KOBIETA,4020
JAGNA,KOBIETA,3972
LONGINA,KOBIETA,3949
DARYA,KOBIETA,3925
FAUSTYNA,KOBIETA,3875
MARINA,KOBIETA,3862
MIRELA,KOBIETA,3854
RYSZARDA,KOBIETA,3807
SNIZHANA,KOBIETA,3801
EMILIIA,KOBIETA,3777
PELAGIA,KOBIETA,3714
ANASTASIA,KOBIETA,3704
YAROSLAVA,KOBIETA,3658
NATALIYA,KOBIETA,3625
WALERIA,KOBIETA,3591
MARYIA,KOBIETA,3538
SAMANTA,KOBIETA,3527
MARIYA,KOBIETA,3516
TEODORA,KOBIETA,3478
TEODOZJA,KOBIETA,3468
OLIMPIA,KOBIETA,3443
ZORIANA,KOBIETA,3386
KSENIA,KOBIETA,3342
EMILY,KOBIETA,3317
MARCELA,KOBIETA,3299
ADELAJDA,KOBIETA,3281
NOEMI,KOBIETA,3239
GALYNA,KOBIETA,3207
EVELINA,KOBIETA,3175
NIKOL,KOBIETA,3167
SOPHIE,KOBIETA,3156
MARYLA,KOBIETA,3145
LEA,KOBIETA,3122
OKTAWIA,KOBIETA,3111
KONSTANCJA,KOBIETA,3096
CLAUDIA,KOBIETA,3064
ANZHELIKA,KOBIETA,2941
PAMELA,KOBIETA,2887
VIKTORYIA,KOBIETA,2843
ANA,KOBIETA,2842
LARA,KOBIETA,2830
ZOIA,KOBIETA,2786
LUCJA,KOBIETA,2778
NELIA,KOBIETA,2777
MILA,KOBIETA,2776
ZYTA,KOBIETA,2745
STELLA,KOBIETA,2739
WANESSA,KOBIETA,2738
MICHELLE,KOBIETA,2713
SVIATLANA,KOBIETA,2661
ADELINA,KOBIETA,2640
TOLA,KOBIETA,2620
ZINAIDA,KOBIETA,2603
IULIIA,KOBIETA,2599
INEZ,KOBIETA,2558
BOGNA,KOBIETA,2542
TETYANA,KOBIETA,2533
MIRELLA,KOBIETA,2532
SARAH,KOBIETA,2516
LIUDMILA,KOBIETA,2502
SVETLANA,KOBIETA,2462
ALIAKSANDRA,KOBIETA,2444
VALENTINA,KOBIETA,2403
TAISIIA,KOBIETA,2394
SOPHIA,KOBIETA,2389
GANNA,KOBIETA,2384
LEONARDA,KOBIETA,2374
ANGELA,KOBIETA,2313
OLA,KOBIETA,2303
VASYLYNA,KOBIETA,2240
MIRIAM,KOBIETA,2238
LINA,KOBIETA,2216
KRZYSZTOFA,KOBIETA,2198
VITALINA,KOBIETA,2197
INES,KOBIETA,2181
NATALIE,KOBIETA,2156
MAIIA,KOBIETA,2120
FELIKSA,KOBIETA,2107
ANTONIA,KOBIETA,2076
AMINA,KOBIETA,2066
GALINA,KOBIETA,2050
ELINA,KOBIETA,2037
LIVIA,KOBIETA,1975
NADZIEJA,KOBIETA,1965
KSENIYA,KOBIETA,1932
ROMA,KOBIETA,1907
GLORIA,KOBIETA,1900
ERIKA,KOBIETA,1879
VERONICA,KOBIETA,1871
MARIETTA,KOBIETA,1844
EDWARDA,KOBIETA,1843
YANINA,KOBIETA,1837
ANDREA,KOBIETA,1828
IZA,KOBIETA,1806
NIKA,KOBIETA,1800
MANUELA,KOBIETA,1791
ISABELLA,KOBIETA,1783
ELFRYDA,KOBIETA,1768
SOFIYA,KOBIETA,1751
KLEMENTYNA,KOBIETA,1743
JANA,KOBIETA,1739
FLORENTYNA,KOBIETA,1733
BOLESŁAWA,KOBIETA,1723
ARLETTA,KOBIETA,1713
PALINA,KOBIETA,1711
VALERYIA,KOBIETA,1671
INA,KOBIETA,1654
ROKSOLANA,KOBIETA,1653
MARTINA,KOBIETA,1646
KLAUDYNA,KOBIETA,1641
EKATERINA,KOBIETA,1628
MARGARITA,KOBIETA,1625
YARYNA,KOBIETA,1625
HANNAH,KOBIETA,1623
SALOMEA,KOBIETA,1623
ALA,KOBIETA,1622
MIRA,KOBIETA,1622
VERANIKA,KOBIETA,1621
ELLA,KOBIETA,1618
ARIANA,KOBIETA,1613
EDELTRAUDA,KOBIETA,1608
GRETA,KOBIETA,1606
LILY,KOBIETA,1573
NADIYA,KOBIETA,1553
YELIZAVETA,KOBIETA,1543
ELIZABETH,KOBIETA,1533
MALINA,KOBIETA,1531
ELVIRA,KOBIETA,1527
JENNIFER,KOBIETA,1527
VALERIA,KOBIETA,1498
ANDRIANA,KOBIETA,1493
LYUDMYLA,KOBIETA,1491
VERA,KOBIETA,1483
CARMEN,KOBIETA,1479
LIZAVETA,KOBIETA,1475
DANA,KOBIETA,1471
PATRICIA,KOBIETA,1463
DINA,KOBIETA,1461
LINDA,KOBIETA,1451
SABRINA,KOBIETA,1448
ALESIA,KOBIETA,1446
VIOLETA,KOBIETA,1441
ALICE,KOBIETA,1416
RUTA,KOBIETA,1411
GABRIELLA,KOBIETA,1402
DOBROSŁAWA,KOBIETA,1375
LIANA,KOBIETA,1374
HELGA,KOBIETA,1372
NAOMI,KOBIETA,1366
LYUBOV,KOBIETA,1354
YULIANA,KOBIETA,1343
TAMILA,KOBIETA,1340
NICOL,KOBIETA,1333
WIERA,KOBIETA,1322
AURORA,KOBIETA,1310
ALICIA,KOBIETA,1304
AKSANA,KOBIETA,1291
DALIA,KOBIETA,1278
GERDA,KOBIETA,1266
MARCJANNA,KOBIETA,1265
VIKTORIYA,KOBIETA,1255
CRISTINA,KOBIETA,1248
VLADA,KOBIETA,1248
SIMONA,KOBIETA,1247
MELISA,KOBIETA,1230
LILLY,KOBIETA,1227
MAIA,KOBIETA,1227
CAROLINE,KOBIETA,1224
WANESA,KOBIETA,1212
KRYSTSINA,KOBIETA,1206
MAJKA,KOBIETA,1204
BIANCA,KOBIETA,1198
VITALIIA,KOBIETA,1196
BERNARDYNA,KOBIETA,1194
NASTASSIA,KOBIETA,1184
ANIKA,KOBIETA,1182
